time,open,high,low,close,tick_volume,spread,real_volume
2021-12-13 21:00:00,0.92161,0.9221,0.92161,0.92209,1066,0,0
2021-12-13 22:00:00,0.92209,0.92271,0.92193,0.9226,1231,0,0
2021-12-13 23:00:00,0.9226,0.92267,0.92219,0.92249,637,2,0
2021-12-14 00:00:00,0.92279,0.92281,0.92198,0.92235,409,53,0
2021-12-14 01:00:00,0.92235,0.92263,0.9223,0.92241,642,5,0
2021-12-14 02:00:00,0.9224,0.92342,0.9224,0.92302,834,0,0
2021-12-14 03:00:00,0.92306,0.92344,0.92278,0.92284,602,0,0
2021-12-14 04:00:00,0.92282,0.92336,0.92274,0.92314,442,2,0
2021-12-14 05:00:00,0.92314,0.92356,0.92281,0.92338,839,0,0
2021-12-14 06:00:00,0.92339,0.92354,0.92312,0.92313,451,1,0
2021-12-14 07:00:00,0.92313,0.92324,0.92294,0.92309,448,0,0
2021-12-14 08:00:00,0.92309,0.92332,0.92273,0.9232,457,0,0
2021-12-14 09:00:00,0.92323,0.92373,0.92293,0.92338,938,0,0
2021-12-14 10:00:00,0.92337,0.92374,0.92089,0.92092,1645,0,0
2021-12-14 11:00:00,0.92092,0.9224,0.92034,0.92059,1938,0,0
2021-12-14 12:00:00,0.92059,0.92062,0.91927,0.91954,1978,0,0
2021-12-14 13:00:00,0.91954,0.91958,0.91884,0.91949,1934,0,0
2021-12-14 14:00:00,0.91949,0.92034,0.91918,0.91982,3135,0,0
2021-12-14 15:00:00,0.91982,0.9204,0.91933,0.91952,2744,0,0
2021-12-14 16:00:00,0.91951,0.92137,0.91949,0.92108,2996,0,0
2021-12-14 17:00:00,0.92106,0.92403,0.92065,0.92396,2726,0,0
2021-12-14 18:00:00,0.92397,0.92439,0.92345,0.92373,2315,0,0
2021-12-14 19:00:00,0.92372,0.92381,0.92247,0.92288,1863,0,0
2021-12-14 20:00:00,0.92288,0.92369,0.92275,0.92364,822,0,0
2021-12-14 21:00:00,0.92363,0.92428,0.92355,0.92424,877,0,0
2021-12-14 22:00:00,0.92424,0.92448,0.92391,0.9244,816,0,0
2021-12-14 23:00:00,0.9244,0.9244,0.92385,0.92393,550,2,0
2021-12-15 00:00:00,0.92291,0.92383,0.92219,0.9235,753,62,0
2021-12-15 01:00:00,0.92351,0.92424,0.92345,0.92415,349,4,0
2021-12-15 02:00:00,0.92422,0.92426,0.92357,0.92366,338,0,0
2021-12-15 03:00:00,0.92366,0.92379,0.92336,0.92364,435,0,0
2021-12-15 04:00:00,0.92364,0.924,0.92341,0.92389,378,1,0
2021-12-15 05:00:00,0.92392,0.92432,0.92377,0.92428,386,1,0
2021-12-15 06:00:00,0.92428,0.92428,0.92391,0.92424,333,3,0
2021-12-15 07:00:00,0.92423,0.92424,0.92377,0.92394,517,0,0
2021-12-15 08:00:00,0.92394,0.92396,0.92336,0.92348,533,0,0
2021-12-15 09:00:00,0.92348,0.92487,0.9234,0.92481,1504,0,0
2021-12-15 10:00:00,0.92482,0.92493,0.92388,0.9243,1879,0,0
2021-12-15 11:00:00,0.9243,0.92457,0.92349,0.92423,1494,0,0
2021-12-15 12:00:00,0.92428,0.92491,0.92419,0.9248,1378,0,0
2021-12-15 13:00:00,0.9248,0.92494,0.92421,0.92422,1404,0,0
2021-12-15 14:00:00,0.92423,0.92511,0.92418,0.92483,1734,0,0
2021-12-15 15:00:00,0.92482,0.9252,0.92434,0.92451,2721,0,0
2021-12-15 16:00:00,0.9245,0.92636,0.9244,0.9261,4025,0,0
2021-12-15 17:00:00,0.9261,0.927,0.92568,0.92625,3344,0,0
2021-12-15 18:00:00,0.92625,0.92633,0.9253,0.92585,2785,0,0
2021-12-15 19:00:00,0.92586,0.92676,0.9258,0.92664,2061,0,0
2021-12-15 20:00:00,0.92663,0.92695,0.92648,0.92679,1691,0,0
2021-12-15 21:00:00,0.92679,0.92941,0.92552,0.92576,10424,0,0
2021-12-15 22:00:00,0.92578,0.92636,0.92397,0.92462,4452,0,0
2021-12-15 23:00:00,0.92461,0.9247,0.92423,0.92431,737,3,0
2021-12-16 00:00:00,0.92414,0.92491,0.92318,0.92406,9389,24,0
2021-12-16 01:00:00,0.92379,0.92459,0.92375,0.92445,707,7,0
2021-12-16 02:00:00,0.92445,0.92539,0.9244,0.92529,641,0,0
2021-12-16 03:00:00,0.92528,0.92534,0.9249,0.92492,720,0,0
2021-12-16 04:00:00,0.92491,0.92505,0.92384,0.92386,732,1,0
2021-12-16 05:00:00,0.92387,0.92439,0.92387,0.92437,527,2,0
2021-12-16 06:00:00,0.92437,0.92525,0.92414,0.92523,641,0,0
2021-12-16 07:00:00,0.92525,0.92564,0.92487,0.9251,403,0,0
2021-12-16 08:00:00,0.9251,0.92539,0.92413,0.92432,551,0,0
2021-12-16 09:00:00,0.92432,0.92443,0.92283,0.92322,1467,0,0
2021-12-16 10:00:00,0.92322,0.92386,0.92209,0.92242,2699,0,0
2021-12-16 11:00:00,0.92242,0.924,0.92205,0.92397,2279,0,0
2021-12-16 12:00:00,0.92396,0.92539,0.92366,0.92527,2467,0,0
2021-12-16 13:00:00,0.92528,0.92554,0.92476,0.92517,1938,0,0
2021-12-16 14:00:00,0.92516,0.92554,0.92252,0.92295,4594,0,0
2021-12-16 15:00:00,0.92294,0.9231,0.92039,0.92059,4513,0,0
2021-12-16 16:00:00,0.92058,0.92146,0.91992,0.92131,5565,0,0
2021-12-16 17:00:00,0.92128,0.92286,0.92054,0.92178,3977,0,0
2021-12-16 18:00:00,0.92178,0.92213,0.92137,0.9216,2470,0,0
2021-12-16 19:00:00,0.9216,0.92208,0.92048,0.92059,1857,0,0
2021-12-16 20:00:00,0.9206,0.9207,0.92012,0.92024,1450,0,0
2021-12-16 21:00:00,0.92023,0.92025,0.91918,0.91929,1640,0,0
2021-12-16 22:00:00,0.91929,0.91966,0.91895,0.91904,1512,0,0
2021-12-16 23:00:00,0.91904,0.91951,0.91904,0.91915,792,1,0
2021-12-17 00:00:00,0.91888,0.91946,0.91851,0.91928,370,20,0
2021-12-17 01:00:00,0.91928,0.91972,0.91891,0.91898,760,7,0
2021-12-17 02:00:00,0.91898,0.91969,0.91893,0.9196,433,1,0
2021-12-17 03:00:00,0.9196,0.91962,0.91912,0.91944,1186,0,0
2021-12-17 04:00:00,0.91945,0.91974,0.91924,0.91961,861,0,0
2021-12-17 05:00:00,0.91962,0.91972,0.91904,0.91908,707,0,0
2021-12-17 06:00:00,0.91908,0.91915,0.9186,0.91876,581,0,0
2021-12-17 07:00:00,0.91876,0.91881,0.918,0.91807,693,0,0
2021-12-17 08:00:00,0.91807,0.91892,0.91799,0.91887,706,0,0
